RPL4	P36578
RPL5	P46777
RPL6	Q02878
RPL7	P18124
RPL7A	P62424
RPL8	P62917
RPL9	P32969
RPLP0	P05388
RPN1	P04843
RPS11	P62280
RPS13	P62277
RPS14	P62263
RPS16	P62249
RPS17	P08708
RPS18	P62269
RPS19	P39019
RPS2	P15880
RPS20	P60866
RPS21	P63220
RPS24	P62847
RPS25	P62851
RPS27A	P62979
RPS3	P23396
RPS3A	P61247
RPS4X	P62701
RPS5	P46782
RPS6	P62753
RPS6KA3	P51812
RPS6KA5	O75582
RPS6KB1	P23443
RPS6KB2	Q9UBS0
RPS7	P62081
RPS8	P62241
RPS9	P46781
RPSA	P08865
RPTOR	Q8N122
RRBP1	Q9P2E9
RSL1D1	O76021
RSRC1	Q96IZ7
RTCB	Q9Y3I0
RTN4RL1	Q86UN2
RTRAF	Q9Y224
S100A7A	Q86SG5
S100A8	P05109
S100A9	P06702
SAFB2	Q14151
SAMD4A	Q9UPU9
SAMD4B	Q5PRF9
SBSN	Q6UWP8
SCAF11	Q99590
SCAF8	Q9UPN6
SCAPER	Q9BY12
SCD	O00767
SCGB1D1	O95968
SEC16A	O15027
SEC23B	Q15437
SEC24B	O95487
SEC24C	P53992
SECISBP2	Q96T21
SECISBP2L	Q93073
SERBP1	Q8NC51
SERPINB12	Q96P63
SERPINB3	P29508
SERPINI2	O75830
SET	Q01105
SF1	Q15637
SF3B1	O75533
SFN	P31947
SFPQ	P23246
SFRP2	Q96HF1
SIPA1L1	O43166
SIPA1L2	Q9P2F8
SKAP2	O75563
SLBP	Q14493
SLC25A5	P05141
SLC25A6	P12236
SLC4A4	Q9Y6R1
SLC6A4	P31645
SMAD6	O43541
SMAP2	Q8WU79
SMARCA1	P28370
SMARCA5	O60264
SMC1A	Q14683
SMC3	Q9UQE7
SMC4	Q9NTJ3
SMG1	Q96Q15
SMG5	Q9UPR3
SMG6	Q86US8
SMG7	Q92540
SMG8	Q8ND04
SMN1	Q16637
SMPD3	Q9NY59
SMU1	Q2TAY7
SMYD5	Q6GMV2
SND1	Q7KZF4
SNRNP200	O75643
SNRNP70	P08621
SNRPA1	P09661
SNRPC	P09234
SNRPF	P62306
SNTB2	Q13425
SOGA3	Q5TF21
SORBS1	Q9BX66
SORT1	Q99523
SOX3	P41225
SP100	P23497
SPAG5	Q96R06
SPART	Q8N0X7
SPATA2	Q9UM82
SPATS2	Q86XZ4
SPATS2L	Q9NUQ6
SPECC1L	Q69YQ0
SPHK2	Q9NRA0
SPTAN1	Q13813
SPTBN1	Q01082
SQSTM1	Q13501
SRI	P30626
SRP14	P37108
SRP68	Q9UHB9
SRP72	O76094
SRP9	P49458
SRPK1	Q96SB4
SRRM1	Q8IYB3
SRRM2	Q9UQ35
SRRT	Q9BXP5
SRSF1	Q07955
SRSF2	Q01130
SRSF3	P84103
SRSF4	Q08170
SRSF5	Q13243
SRSF6	Q13247
SRSF7	Q16629
SRSF9	Q13242
SSB	P05455
SSH1	Q8WYL5
SST	P61278
SSTR3	P32745
SSX2IP	Q9Y2D8
ST7	Q9NRC1
STAT1	P42224
STAU1	O95793
STAU2	Q9NUL3
STIP1	P31948
STK11IP	Q8N1F8
STK17B	O94768
STK32A	Q8WU08
STRADA	Q7RTN6
STRADB	Q9C0K7
STRAP	Q9Y3F4
STRBP	Q96SI9
STYX	Q8WUJ0
SUGP2	Q8IX01
SUGT1	Q9Y2Z0
SUN1	O94901
SUPT6H	Q7KZ85
SYCP3	Q8IZU3
SYNCRIP	O60506
TACC2	O95359
TACC3	Q9Y6A5
TAF15	Q92804
TAGLN3	Q9UI15
TARDBP	Q13148
TAS2R39	P59534
TBK1	Q9UHD2
TBKBP1	A7MCY6
TBP	P20226
TBRG1	Q3YBR2
TCAP	O15273
TCEA1	P23193
TCHP	Q9BT92
TCP1	P17987
TDGF1	P13385
TDRD3	Q9H7E2
TDRD7	Q8NHU6
TEX14	Q8IWB6
TF	P02787
TFIP11	Q9UBB9
THOC2	Q8NI27
THRA	P10827
THRAP3	Q9Y2W1
TIA1	P31483
TIAL1	Q01085
TLK2	Q86UE8
TMEM131	Q92545
TMOD3	Q9NYL9
TNKS	O95271
TNKS1BP1	Q9C0C2
TNPO1	Q92973
TNPO2	O14787
TNRC6A	Q8NDV7
TNRC6B	Q9UPQ9
TNRC6C	Q9HCJ0
TOMM34	Q15785
TOP1	P11387
TOP2A	P11388
TOP2B	Q02880
TOP3B	O95985
TPM1	P09493
TPM2	P07951
TRA2B	P62995
TRAF2	Q12933
TRAF3IP2	O43734
TRAF6	Q9Y4K3
TRDMT1	O14717
TRIM21	P19474
TRIM25	Q14258
TRIM56	Q9BRZ2
TRIM71	Q2Q1W2
TRIP4	Q15650
TRIP6	Q15654
TRPC3	Q13507
TRPC7	Q9HCX4
TRPM3	Q9HCF6
TRRAP	Q9Y4A5
TSR1	Q2NL82
TSSK6	Q9BXA6
TTC17	Q96AE7
TTF1	Q15361
TTK	P33981
TTN	Q8WZ42
TUBA1B	P68363
TUBA1C	Q9BQE3
TUBA3C	P0DPH7
TUBA4A	P68366
TUBB	P07437
TUBB3	Q13509
TUBB8	Q3ZCM7
TUFM	P49411
TUT4	Q5TAX3
TUT7	Q5VYS8
TXK	P42681
TXN	P10599
TXNDC17	Q9BRA2
TXNL1	O43396
U2AF1	Q01081
U2AF2	P26368
UBA1	P22314
UBA52	P62987
UBAP2	Q5T6F2
UBAP2L	Q14157
UBE2M	P61081
UBE2O	Q9C0C9
UBL5	Q9BZL1
UBQLN2	Q9UHD9
UBR5	O95071
UPF1	Q92900
UPF2	Q9HAU5
UPF3B	Q9BZI7
UQCRH	P07919
USP10	Q14694
USP11	P51784
USP22	Q9UPT9
USP28	Q96RU2
USP5	P45974
USP54	Q70EL1
UTP11	Q9Y3A2
UTP15	Q8TED0
UTP18	Q9Y5J1
VASP	P50552
VBP1	P61758
