ZC3H14	Q6PJT7
ZC3H7A	Q8IWR0
ZC3H7B	Q9UGR2
ZC3HAV1	Q7Z2W4
ZCCHC14	Q8WYQ9
ZCCHC2	Q9C0B9
ZCCHC3	Q9NUD5
ZFP36	P26651
ZFP36L1	Q07352
ZFR	Q96KR1
ZNF598	Q86UK7
ZNF638	Q14966
ZNF703	Q9H7S9
